// user:DESKTOP-0HM15HR_628165; date:2020-10-14 12:06:00.623; sample:8192; 
time[ms]; amplitude[g]; 
58.96; -0.40243; 
59.021; -0.40207; 
59.082; -0.34147; 
59.143; -0.2219; 
59.204; -0.08969; 
59.265; 0.07465; 
59.326; 0.16944; 
59.387; 0.0889; 
59.448; -0.02654; 
59.509; -0.15367; 
59.57; -0.33627; 
59.631; -0.45094; 
59.692; -0.50588; 
59.753; -0.49658; 
59.814; -0.388; 
59.875; -0.27307; 
59.937; -0.13968; 
59.998; -0.06397; 
60.059; -0.11938; 
60.12; -0.18143; 
60.181; -0.24002; 
60.242; -0.27897; 
60.303; -0.31479; 
60.364; -0.40402; 
60.425; -0.40079; 
60.486; -0.30855; 
60.547; -0.22438; 
60.608; -0.15448; 
60.669; -0.16495; 
60.73; -0.17243; 
60.791; -0.17357; 
60.852; -0.28868; 
60.913; -0.38342; 
60.974; -0.42925; 
61.035; -0.47044; 
61.096; -0.40303; 
61.157; -0.30983; 
61.218; -0.25126; 
61.279; -0.18405; 
61.34; -0.17578; 
61.401; -0.20585; 
61.462; -0.22789; 
61.523; -0.23597; 
61.584; -0.22436; 
61.646; -0.25746; 
61.707; -0.27423; 
61.768; -0.23755; 
61.829; -0.24666; 
61.89; -0.22882; 
61.951; -0.17453; 
62.012; -0.14386; 
62.073; -0.08319; 
62.134; -0.08258; 
62.195; -0.10272; 
62.256; -0.05943; 
62.317; -0.05985; 
62.378; 0.00531; 
62.439; 0.11457; 
62.5; 0.13381; 
62.561; 0.16258; 
62.622; 0.07618; 
62.683; -0.12103; 
62.744; -0.19245; 
62.805; -0.22042; 
62.866; -0.23899; 
62.927; -0.17263; 
62.988; -0.0577; 
63.049; 0.09537; 
63.11; 0.19097; 
63.171; 0.15696; 
63.232; 0.06713; 
63.293; -0.05754; 
63.354; -0.18176; 
63.416; -0.19723; 
63.477; -0.10359; 
63.538; 0.06052; 
63.599; 0.28957; 
63.66; 0.49456; 
63.721; 0.61797; 
63.782; 0.63453; 
63.843; 0.49519; 
63.904; 0.31226; 
63.965; 0.17824; 
64.026; 0.04325; 
64.087; -0.00679; 
64.148; 0.11905; 
64.209; 0.31743; 
64.27; 0.49969; 
64.331; 0.62027; 
64.392; 0.63269; 
64.453; 0.60232; 
64.514; 0.54282; 
64.575; 0.41411; 
64.636; 0.32913; 
64.697; 0.32571; 
64.758; 0.34064; 
64.819; 0.39629; 
64.88; 0.47008; 
64.941; 0.55306; 
65.002; 0.6944; 
65.063; 0.83787; 
65.125; 0.90897; 
65.186; 0.88898; 
65.247; 0.75572; 
65.308; 0.56283; 
65.369; 0.40394; 
65.43; 0.28744; 
65.491; 0.2567; 
65.552; 0.35316; 
65.613; 0.49877; 
65.674; 0.67646; 
65.735; 0.84467; 
65.796; 0.88129; 
65.857; 0.83675; 
65.918; 0.77389; 
65.979; 0.65994; 
66.04; 0.53779; 
66.101; 0.45149; 
66.162; 0.42492; 
66.223; 0.46068; 
66.284; 0.49867; 
66.345; 0.52875; 
66.406; 0.54032; 
66.467; 0.49409; 
66.528; 0.46321; 
66.589; 0.49158; 
66.65; 0.48421; 
66.711; 0.41853; 
66.772; 0.35801; 
66.833; 0.34624; 
66.895; 0.39498; 
66.956; 0.40703; 
67.017; 0.3348; 
67.078; 0.31269; 
67.139; 0.38836; 
67.2; 0.49311; 
67.261; 0.58591; 
67.322; 0.60839; 
67.383; 0.58152; 
67.444; 0.57678; 
67.505; 0.53756; 
67.566; 0.43757; 
67.627; 0.35055; 
67.688; 0.28994; 
67.749; 0.2636; 
67.81; 0.28647; 
67.871; 0.29818; 
67.932; 0.28382; 
67.993; 0.32147; 
68.054; 0.39289; 
68.115; 0.4043; 
68.176; 0.41588; 
68.237; 0.46078; 
